##Databases: KEGG PATHWAY, Gene Ontology								
##Statistical test method: hypergeometric test / Fisher's exact test								
##FDR correction method: Benjamini and Hochberg								
								
#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
response to microbial phytotoxin	Gene Ontology	GO:0010188	1	11	0.111771154561	0.412815160478	Barthea25084	http://amigo.geneontology.org/amigo/term/GO:0010188
regulation of salicylic acid metabolic process	Gene Ontology	GO:0010337	1	11	0.111771154561	0.412815160478	Barthea41238	http://amigo.geneontology.org/amigo/term/GO:0010337
histone methyltransferase activity (H3-K4 specific)	Gene Ontology	GO:0042800	1	11	0.111771154561	0.412815160478	Barthea29177	http://amigo.geneontology.org/amigo/term/GO:0042800
positive regulation of anaphase-promoting complex-dependent catabolic process	Gene Ontology	GO:1905786	1	11	0.111771154561	0.412815160478	Barthea29242	http://amigo.geneontology.org/amigo/term/GO:1905786
beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity	Gene Ontology	GO:0003830	1	11	0.111771154561	0.412815160478	Barthea22912	http://amigo.geneontology.org/amigo/term/GO:0003830
detection of brassinosteroid stimulus	Gene Ontology	GO:0009729	1	11	0.111771154561	0.412815160478	Barthea12174	http://amigo.geneontology.org/amigo/term/GO:0009729
receptor serine/threonine kinase binding	Gene Ontology	GO:0033612	2	57	0.114520142737	0.415653978578	Barthea12145|Barthea20834	http://amigo.geneontology.org/amigo/term/GO:0033612
cellulase activity	Gene Ontology	GO:0008810	2	57	0.114520142737	0.415653978578	Barthea12156|Barthea12146	http://amigo.geneontology.org/amigo/term/GO:0008810
cellulose biosynthetic process	Gene Ontology	GO:0030244	3	117	0.114923941617	0.415653978578	Barthea12156|Barthea41238|Barthea22895	http://amigo.geneontology.org/amigo/term/GO:0030244
abscission	Gene Ontology	GO:0009838	1	12	0.120502494428	0.415653978578	Barthea20838	http://amigo.geneontology.org/amigo/term/GO:0009838
nucleosome organization	Gene Ontology	GO:0034728	1	12	0.120502494428	0.415653978578	Barthea29176	http://amigo.geneontology.org/amigo/term/GO:0034728
3-chloroallyl aldehyde dehydrogenase activity	Gene Ontology	GO:0004028	1	12	0.120502494428	0.415653978578	Barthea29164	http://amigo.geneontology.org/amigo/term/GO:0004028
chitin catabolic process	Gene Ontology	GO:0006032	1	12	0.120502494428	0.415653978578	Barthea41238	http://amigo.geneontology.org/amigo/term/GO:0006032
fatty alcohol biosynthetic process	Gene Ontology	GO:1903175	1	12	0.120502494428	0.415653978578	Barthea13815	http://amigo.geneontology.org/amigo/term/GO:1903175
UMP salvage	Gene Ontology	GO:0044206	1	12	0.120502494428	0.415653978578	Barthea22838	http://amigo.geneontology.org/amigo/term/GO:0044206
anaphase-promoting complex binding	Gene Ontology	GO:0010997	1	12	0.120502494428	0.415653978578	Barthea29242	http://amigo.geneontology.org/amigo/term/GO:0010997
phosphatidylcholine biosynthetic process	Gene Ontology	GO:0006656	1	12	0.120502494428	0.415653978578	Barthea39511	http://amigo.geneontology.org/amigo/term/GO:0006656
cohesin complex	Gene Ontology	GO:0008278	1	12	0.120502494428	0.415653978578	Barthea22834	http://amigo.geneontology.org/amigo/term/GO:0008278
leucine catabolic process	Gene Ontology	GO:0006552	1	12	0.120502494428	0.415653978578	Barthea13800	http://amigo.geneontology.org/amigo/term/GO:0006552
uracil phosphoribosyltransferase activity	Gene Ontology	GO:0004845	1	12	0.120502494428	0.415653978578	Barthea22838	http://amigo.geneontology.org/amigo/term/GO:0004845
cyclin-dependent protein serine/threonine kinase inhibitor activity	Gene Ontology	GO:0004861	1	13	0.129148210511	0.435875210475	Barthea41242	http://amigo.geneontology.org/amigo/term/GO:0004861
plastid large ribosomal subunit	Gene Ontology	GO:0000311	1	13	0.129148210511	0.435875210475	Barthea30114	http://amigo.geneontology.org/amigo/term/GO:0000311
phosphotransferase activity, alcohol group as acceptor	Gene Ontology	GO:0016773	1	13	0.129148210511	0.435875210475	Barthea25084	http://amigo.geneontology.org/amigo/term/GO:0016773
suberin biosynthetic process	Gene Ontology	GO:0010345	2	62	0.130803374959	0.437688216208	Barthea13815|Barthea22856	http://amigo.geneontology.org/amigo/term/GO:0010345
hormone-mediated signaling pathway	Gene Ontology	GO:0009755	2	62	0.130803374959	0.437688216208	Barthea12145|Barthea12174	http://amigo.geneontology.org/amigo/term/GO:0009755
vacuole	Gene Ontology	GO:0005773	18	1351	0.1314062738	0.43783452079	Barthea13825|Barthea37782|Barthea29164|Barthea37776|Barthea39517|Barthea22903|Barthea39557|Barthea39495|Barthea39553|Barthea25085|Barthea22883|Barthea22849|Barthea12183|Barthea20987|Barthea20988|Barthea22889|Barthea29185|Barthea41261	http://amigo.geneontology.org/amigo/term/GO:0005773
U2AF complex	Gene Ontology	GO:0089701	1	14	0.137709140461	0.445563045376	Barthea12150	http://amigo.geneontology.org/amigo/term/GO:0089701
mRNA 3'-end processing	Gene Ontology	GO:0031124	1	14	0.137709140461	0.445563045376	Barthea22858	http://amigo.geneontology.org/amigo/term/GO:0031124
mitotic checkpoint complex	Gene Ontology	GO:0033597	1	14	0.137709140461	0.445563045376	Barthea29242	http://amigo.geneontology.org/amigo/term/GO:0033597
omega-hydroxypalmitate O-sinapoyl transferase activity	Gene Ontology	GO:0102406	1	14	0.137709140461	0.445563045376	Barthea22856	http://amigo.geneontology.org/amigo/term/GO:0102406
steroid binding	Gene Ontology	GO:0005496	1	14	0.137709140461	0.445563045376	Barthea12174	http://amigo.geneontology.org/amigo/term/GO:0005496
histone H3-K36 methylation	Gene Ontology	GO:0010452	1	14	0.137709140461	0.445563045376	Barthea29177	http://amigo.geneontology.org/amigo/term/GO:0010452
nuclear cohesin complex	Gene Ontology	GO:0000798	1	14	0.137709140461	0.445563045376	Barthea22834	http://amigo.geneontology.org/amigo/term/GO:0000798
transcription factor TFIIH holo complex	Gene Ontology	GO:0005675	1	15	0.146186113754	0.456030785136	Barthea41268	http://amigo.geneontology.org/amigo/term/GO:0005675
secondary metabolic process	Gene Ontology	GO:0019748	1	15	0.146186113754	0.456030785136	Barthea29185	http://amigo.geneontology.org/amigo/term/GO:0019748
maintenance of DNA methylation	Gene Ontology	GO:0010216	1	15	0.146186113754	0.456030785136	Barthea41248	http://amigo.geneontology.org/amigo/term/GO:0010216
negative regulation of cyclin-dependent protein serine/threonine kinase activity	Gene Ontology	GO:0045736	1	15	0.146186113754	0.456030785136	Barthea41242	http://amigo.geneontology.org/amigo/term/GO:0045736
exonuclease activity	Gene Ontology	GO:0004527	1	15	0.146186113754	0.456030785136	Barthea39559	http://amigo.geneontology.org/amigo/term/GO:0004527
nucleotide-sugar transmembrane transport	Gene Ontology	GO:0015780	1	15	0.146186113754	0.456030785136	Barthea39546	http://amigo.geneontology.org/amigo/term/GO:0015780
response to symbiotic fungus	Gene Ontology	GO:0009610	1	15	0.146186113754	0.456030785136	Barthea20837	http://amigo.geneontology.org/amigo/term/GO:0009610
apical part of cell	Gene Ontology	GO:0045177	1	15	0.146186113754	0.456030785136	Barthea29233	http://amigo.geneontology.org/amigo/term/GO:0045177
regulation of plant-type hypersensitive response	Gene Ontology	GO:0010363	1	15	0.146186113754	0.456030785136	Barthea29177	http://amigo.geneontology.org/amigo/term/GO:0010363
integral component of plasma membrane	Gene Ontology	GO:0005887	4	203	0.147785772184	0.45919150643	Barthea20988|Barthea22883|Barthea22903|Barthea20987	http://amigo.geneontology.org/amigo/term/GO:0005887
pollen exine formation	Gene Ontology	GO:0010584	2	68	0.150981210144	0.46172111758	Barthea13815|Barthea12174	http://amigo.geneontology.org/amigo/term/GO:0010584
endosome membrane	Gene Ontology	GO:0010008	2	69	0.154402287369	0.46172111758	Barthea25082|Barthea25081	http://amigo.geneontology.org/amigo/term/GO:0010008
prephenate dehydratase activity	Gene Ontology	GO:0004664	1	16	0.154579951769	0.46172111758	Barthea13812	http://amigo.geneontology.org/amigo/term/GO:0004664
cellular response to nitrate	Gene Ontology	GO:0071249	1	16	0.154579951769	0.46172111758	Barthea22866	http://amigo.geneontology.org/amigo/term/GO:0071249
phloem sucrose loading	Gene Ontology	GO:0009915	1	16	0.154579951769	0.46172111758	Barthea20987	http://amigo.geneontology.org/amigo/term/GO:0009915
hydroxycinnamoyltransferase activity	Gene Ontology	GO:0050734	1	16	0.154579951769	0.46172111758	Barthea22856	http://amigo.geneontology.org/amigo/term/GO:0050734
pre-mRNA 3'-splice site binding	Gene Ontology	GO:0030628	1	16	0.154579951769	0.46172111758	Barthea12150	http://amigo.geneontology.org/amigo/term/GO:0030628
arogenate dehydratase activity	Gene Ontology	GO:0047769	1	16	0.154579951769	0.46172111758	Barthea13812	http://amigo.geneontology.org/amigo/term/GO:0047769
cellular aldehyde metabolic process	Gene Ontology	GO:0006081	1	16	0.154579951769	0.46172111758	Barthea29164	http://amigo.geneontology.org/amigo/term/GO:0006081
purine nucleotide metabolic process	Gene Ontology	GO:0006163	1	16	0.154579951769	0.46172111758	Barthea22837	http://amigo.geneontology.org/amigo/term/GO:0006163
mRNA splicing, via spliceosome	Gene Ontology	GO:0000398	4	207	0.155086403478	0.46172111758	Barthea20831|Barthea39512|Barthea12150|Barthea12177	http://amigo.geneontology.org/amigo/term/GO:0000398
response to karrikin	Gene Ontology	GO:0080167	5	284	0.15706674912	0.465845699095	Barthea25094|Barthea12186|Barthea39498|Barthea39499|Barthea25084	http://amigo.geneontology.org/amigo/term/GO:0080167
exocyst	Gene Ontology	GO:0000145	2	70	0.157838244768	0.466367342088	Barthea22860|Barthea39534	http://amigo.geneontology.org/amigo/term/GO:0000145
serine-type carboxypeptidase activity	Gene Ontology	GO:0004185	2	71	0.161288461683	0.468489891749	Barthea29185|Barthea39553	http://amigo.geneontology.org/amigo/term/GO:0004185
glycerol-3-phosphate metabolic process	Gene Ontology	GO:0006072	1	17	0.162891467871	0.468489891749	Barthea25084	http://amigo.geneontology.org/amigo/term/GO:0006072
protein localization	Gene Ontology	GO:0008104	1	17	0.162891467871	0.468489891749	Barthea39534	http://amigo.geneontology.org/amigo/term/GO:0008104
regulation of stomatal complex patterning	Gene Ontology	GO:2000037	1	17	0.162891467871	0.468489891749	Barthea25056	http://amigo.geneontology.org/amigo/term/GO:2000037
mitochondria-nucleus signaling pathway	Gene Ontology	GO:0031930	1	17	0.162891467871	0.468489891749	Barthea29180	http://amigo.geneontology.org/amigo/term/GO:0031930
1-aminocyclopropane-1-carboxylate oxidase activity	Gene Ontology	GO:0009815	1	17	0.162891467871	0.468489891749	Barthea29175	http://amigo.geneontology.org/amigo/term/GO:0009815
anther wall tapetum cell differentiation	Gene Ontology	GO:0048657	1	17	0.162891467871	0.468489891749	Barthea12174	http://amigo.geneontology.org/amigo/term/GO:0048657
carboxylic ester hydrolase activity	Gene Ontology	GO:0052689	2	72	0.164752328163	0.468489891749	Barthea41249|Barthea41274	http://amigo.geneontology.org/amigo/term/GO:0052689
response to molecule of bacterial origin	Gene Ontology	GO:0002237	2	73	0.168229244812	0.468489891749	Barthea25084|Barthea39509	http://amigo.geneontology.org/amigo/term/GO:0002237
embryo development ending in seed dormancy	Gene Ontology	GO:0009793	13	965	0.169589244931	0.468489891749	Barthea20963|Barthea12188|Barthea21000|Barthea13822|Barthea29233|Barthea37774|Barthea20980|Barthea20992|Barthea20979|Barthea41254|Barthea12153|Barthea20973|Barthea20972	http://amigo.geneontology.org/amigo/term/GO:0009793
cell wall macromolecule catabolic process	Gene Ontology	GO:0016998	1	18	0.171121467484	0.468489891749	Barthea41238	http://amigo.geneontology.org/amigo/term/GO:0016998
glycerol catabolic process	Gene Ontology	GO:0019563	1	18	0.171121467484	0.468489891749	Barthea25084	http://amigo.geneontology.org/amigo/term/GO:0019563
cyclin binding	Gene Ontology	GO:0030332	1	18	0.171121467484	0.468489891749	Barthea41242	http://amigo.geneontology.org/amigo/term/GO:0030332
negative regulation of cell death	Gene Ontology	GO:0060548	1	18	0.171121467484	0.468489891749	Barthea12174	http://amigo.geneontology.org/amigo/term/GO:0060548
response to nitrate starvation	Gene Ontology	GO:0090548	1	18	0.171121467484	0.468489891749	Barthea29177	http://amigo.geneontology.org/amigo/term/GO:0090548
regulation of seedling development	Gene Ontology	GO:1900140	1	18	0.171121467484	0.468489891749	Barthea12174	http://amigo.geneontology.org/amigo/term/GO:1900140
MAP kinase kinase activity	Gene Ontology	GO:0004708	1	18	0.171121467484	0.468489891749	Barthea25056	http://amigo.geneontology.org/amigo/term/GO:0004708
polyamine transport	Gene Ontology	GO:0015846	1	18	0.171121467484	0.468489891749	Barthea25065	http://amigo.geneontology.org/amigo/term/GO:0015846
glycerol ether metabolic process	Gene Ontology	GO:0006662	1	18	0.171121467484	0.468489891749	Barthea39558	http://amigo.geneontology.org/amigo/term/GO:0006662
stomatal lineage progression	Gene Ontology	GO:0010440	1	18	0.171121467484	0.468489891749	Barthea22894	http://amigo.geneontology.org/amigo/term/GO:0010440
signal transduction	Gene Ontology	GO:0007165	8	540	0.174350441064	0.475666882763	Barthea39556|Barthea29231|Barthea41263|Barthea25082|Barthea25081|Barthea41259|Barthea12143|Barthea20837	http://amigo.geneontology.org/amigo/term/GO:0007165
RNA helicase activity	Gene Ontology	GO:0003724	3	144	0.176458075571	0.475827104475	Barthea39520|Barthea39522|Barthea37803	http://amigo.geneontology.org/amigo/term/GO:0003724
adenylate kinase activity	Gene Ontology	GO:0004017	1	19	0.179270748174	0.475827104475	Barthea22837	http://amigo.geneontology.org/amigo/term/GO:0004017
leaf abscission	Gene Ontology	GO:0060866	1	19	0.179270748174	0.475827104475	Barthea20838	http://amigo.geneontology.org/amigo/term/GO:0060866
amylopectin maltohydrolase activity	Gene Ontology	GO:0102229	1	19	0.179270748174	0.475827104475	Barthea12145	http://amigo.geneontology.org/amigo/term/GO:0102229
tripeptide transport	Gene Ontology	GO:0042939	1	19	0.179270748174	0.475827104475	Barthea29250	http://amigo.geneontology.org/amigo/term/GO:0042939
regulation of secondary shoot formation	Gene Ontology	GO:2000032	1	19	0.179270748174	0.475827104475	Barthea20832	http://amigo.geneontology.org/amigo/term/GO:2000032
transferase activity, transferring acyl groups other than amino-acyl groups	Gene Ontology	GO:0016747	3	147	0.183787547158	0.477282014522	Barthea22856|Barthea41273|Barthea29185	http://amigo.geneontology.org/amigo/term/GO:0016747
deadenylation-independent decapping of nuclear-transcribed mRNA	Gene Ontology	GO:0031087	1	20	0.187340099719	0.477282014522	Barthea20836	http://amigo.geneontology.org/amigo/term/GO:0031087
regulation of gene silencing	Gene Ontology	GO:0060968	1	20	0.187340099719	0.477282014522	Barthea29176	http://amigo.geneontology.org/amigo/term/GO:0060968
zinc ion transport	Gene Ontology	GO:0006829	1	20	0.187340099719	0.477282014522	Barthea29251	http://amigo.geneontology.org/amigo/term/GO:0006829
oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor	Gene Ontology	GO:0016628	1	20	0.187340099719	0.477282014522	Barthea13815	http://amigo.geneontology.org/amigo/term/GO:0016628
beta-amylase activity	Gene Ontology	GO:0016161	1	20	0.187340099719	0.477282014522	Barthea12145	http://amigo.geneontology.org/amigo/term/GO:0016161
mitochondrial electron transport, ubiquinol to cytochrome c	Gene Ontology	GO:0006122	1	20	0.187340099719	0.477282014522	Barthea22867	http://amigo.geneontology.org/amigo/term/GO:0006122
RNA-DNA hybrid ribonuclease activity	Gene Ontology	GO:0004523	1	20	0.187340099719	0.477282014522	Barthea37781	http://amigo.geneontology.org/amigo/term/GO:0004523
ubiquitin binding	Gene Ontology	GO:0043130	2	79	0.189332525487	0.477282014522	Barthea25098|Barthea39501	http://amigo.geneontology.org/amigo/term/GO:0043130
flavonoid biosynthetic process	Gene Ontology	GO:0009813	2	79	0.189332525487	0.477282014522	Barthea13806|Barthea13805	http://amigo.geneontology.org/amigo/term/GO:0009813
pollen development	Gene Ontology	GO:0009555	7	469	0.190458608038	0.477282014522	Barthea29177|Barthea22842|Barthea25058|Barthea20980|Barthea20992|Barthea20979|Barthea20972	http://amigo.geneontology.org/amigo/term/GO:0009555
defense response	Gene Ontology	GO:0006952	6	388	0.193530494131	0.477282014522	Barthea37773|Barthea22861|Barthea20969|Barthea20993|Barthea20971|Barthea20970	http://amigo.geneontology.org/amigo/term/GO:0006952
methionine synthase activity	Gene Ontology	GO:0008705	1	21	0.19533030419	0.477282014522	Barthea13815	http://amigo.geneontology.org/amigo/term/GO:0008705
seed morphogenesis	Gene Ontology	GO:0048317	1	21	0.19533030419	0.477282014522	Barthea22894	http://amigo.geneontology.org/amigo/term/GO:0048317
5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity	Gene Ontology	GO:0003871	1	21	0.19533030419	0.477282014522	Barthea13815	http://amigo.geneontology.org/amigo/term/GO:0003871
fatty-acyl-CoA synthase activity	Gene Ontology	GO:0004321	1	21	0.19533030419	0.477282014522	Barthea22831	http://amigo.geneontology.org/amigo/term/GO:0004321
stress granule assembly	Gene Ontology	GO:0034063	1	21	0.19533030419	0.477282014522	Barthea20836	http://amigo.geneontology.org/amigo/term/GO:0034063
meristem determinacy	Gene Ontology	GO:0010022	1	21	0.19533030419	0.477282014522	Barthea13822	http://amigo.geneontology.org/amigo/term/GO:0010022
lysine biosynthetic process via diaminopimelate	Gene Ontology	GO:0009089	1	21	0.19533030419	0.477282014522	Barthea12181	http://amigo.geneontology.org/amigo/term/GO:0009089
cation transmembrane transporter activity	Gene Ontology	GO:0008324	1	21	0.19533030419	0.477282014522	Barthea39536	http://amigo.geneontology.org/amigo/term/GO:0008324
regulation of starch metabolic process	Gene Ontology	GO:2000904	1	21	0.19533030419	0.477282014522	Barthea22838	http://amigo.geneontology.org/amigo/term/GO:2000904
seed development	Gene Ontology	GO:0048316	3	153	0.198679112848	0.477282014522	Barthea37805|Barthea41266|Barthea41267	http://amigo.geneontology.org/amigo/term/GO:0048316
negative regulation of response to water deprivation	Gene Ontology	GO:0080148	1	22	0.203242136025	0.477282014522	Barthea22907	http://amigo.geneontology.org/amigo/term/GO:0080148
alcohol-forming fatty acyl-CoA reductase activity	Gene Ontology	GO:0102965	1	22	0.203242136025	0.477282014522	Barthea13815	http://amigo.geneontology.org/amigo/term/GO:0102965
fatty-acyl-CoA reductase (alcohol-forming) activity	Gene Ontology	GO:0080019	1	22	0.203242136025	0.477282014522	Barthea13815	http://amigo.geneontology.org/amigo/term/GO:0080019
isopentenyl diphosphate biosynthetic process, mevalonate pathway	Gene Ontology	GO:0019287	1	22	0.203242136025	0.477282014522	Barthea20967	http://amigo.geneontology.org/amigo/term/GO:0019287
ligand-gated ion channel activity	Gene Ontology	GO:0015276	1	22	0.203242136025	0.477282014522	Barthea25095	http://amigo.geneontology.org/amigo/term/GO:0015276
protein-disulfide reductase activity	Gene Ontology	GO:0047134	1	22	0.203242136025	0.477282014522	Barthea39558	http://amigo.geneontology.org/amigo/term/GO:0047134
intracellular ligand-gated ion channel activity	Gene Ontology	GO:0005217	1	22	0.203242136025	0.477282014522	Barthea25095	http://amigo.geneontology.org/amigo/term/GO:0005217
MAPK cascade	Gene Ontology	GO:0000165	1	22	0.203242136025	0.477282014522	Barthea25056	http://amigo.geneontology.org/amigo/term/GO:0000165
RNA methyltransferase activity	Gene Ontology	GO:0008173	1	22	0.203242136025	0.477282014522	Barthea22839	http://amigo.geneontology.org/amigo/term/GO:0008173
long-chain fatty-acyl-CoA metabolic process	Gene Ontology	GO:0035336	1	22	0.203242136025	0.477282014522	Barthea13815	http://amigo.geneontology.org/amigo/term/GO:0035336
alpha-mannosidase activity	Gene Ontology	GO:0004559	1	22	0.203242136025	0.477282014522	Barthea39535	http://amigo.geneontology.org/amigo/term/GO:0004559
glutamate receptor activity	Gene Ontology	GO:0008066	1	22	0.203242136025	0.477282014522	Barthea25095	http://amigo.geneontology.org/amigo/term/GO:0008066
dipeptide transport	Gene Ontology	GO:0042938	1	22	0.203242136025	0.477282014522	Barthea29250	http://amigo.geneontology.org/amigo/term/GO:0042938
endoplasmic reticulum exit site	Gene Ontology	GO:0070971	1	22	0.203242136025	0.477282014522	Barthea41270	http://amigo.geneontology.org/amigo/term/GO:0070971
thylakoid lumen	Gene Ontology	GO:0031977	2	83	0.20359156175	0.477282014522	Barthea25062|Barthea37775	http://amigo.geneontology.org/amigo/term/GO:0031977
response to wounding	Gene Ontology	GO:0009611	7	480	0.205385544857	0.480050392906	Barthea29250|Barthea22842|Barthea41244|Barthea13806|Barthea13805|Barthea39509|Barthea22831	http://amigo.geneontology.org/amigo/term/GO:0009611
sulfur compound metabolic process	Gene Ontology	GO:0006790	1	23	0.211076362099	0.486096445658	Barthea22844	http://amigo.geneontology.org/amigo/term/GO:0006790
cellular response to hydrogen peroxide	Gene Ontology	GO:0070301	1	23	0.211076362099	0.486096445658	Barthea29180	http://amigo.geneontology.org/amigo/term/GO:0070301
gene silencing by RNA-directed DNA methylation	Gene Ontology	GO:0080188	1	23	0.211076362099	0.486096445658	Barthea39507	http://amigo.geneontology.org/amigo/term/GO:0080188
U12-type spliceosomal complex	Gene Ontology	GO:0005689	1	23	0.211076362099	0.486096445658	Barthea39512	http://amigo.geneontology.org/amigo/term/GO:0005689
pectinesterase inhibitor activity	Gene Ontology	GO:0046910	2	87	0.217964578383	0.492654716291	Barthea41232|Barthea20986	http://amigo.geneontology.org/amigo/term/GO:0046910
vacuolar protein processing	Gene Ontology	GO:0006624	1	24	0.218833741806	0.492654716291	Barthea41261	http://amigo.geneontology.org/amigo/term/GO:0006624
N-glycan processing	Gene Ontology	GO:0006491	1	24	0.218833741806	0.492654716291	Barthea39535	http://amigo.geneontology.org/amigo/term/GO:0006491
tripeptide transmembrane transporter activity	Gene Ontology	GO:0042937	1	24	0.218833741806	0.492654716291	Barthea29250	http://amigo.geneontology.org/amigo/term/GO:0042937
histone lysine methylation	Gene Ontology	GO:0034968	1	24	0.218833741806	0.492654716291	Barthea37784	http://amigo.geneontology.org/amigo/term/GO:0034968
response to cytokinin	Gene Ontology	GO:0009735	3	161	0.218957651685	0.492654716291	Barthea12156|Barthea41238|Barthea25076	http://amigo.geneontology.org/amigo/term/GO:0009735
exocytosis	Gene Ontology	GO:0006887	2	88	0.22157206249	0.496359337906	Barthea22860|Barthea39534	http://amigo.geneontology.org/amigo/term/GO:0006887
protein phosphorylation	Gene Ontology	GO:0006468	17	1386	0.221871990124	0.496359337906	Barthea39505|Barthea29231|Barthea29246|Barthea20992|Barthea20968|Barthea39516|Barthea39551|Barthea20846|Barthea20980|Barthea20981|Barthea20979|Barthea20845|Barthea20966|Barthea22916|Barthea12145|Barthea12147|Barthea20972	http://amigo.geneontology.org/amigo/term/GO:0006468
cellular response to amino acid stimulus	Gene Ontology	GO:0071230	1	25	0.226515027124	0.496810269575	Barthea25095	http://amigo.geneontology.org/amigo/term/GO:0071230
auxin binding	Gene Ontology	GO:0010011	1	25	0.226515027124	0.496810269575	Barthea22866	http://amigo.geneontology.org/amigo/term/GO:0010011
clathrin-coated vesicle	Gene Ontology	GO:0030136	1	25	0.226515027124	0.496810269575	Barthea25073	http://amigo.geneontology.org/amigo/term/GO:0030136
acceptance of pollen	Gene Ontology	GO:0060321	1	25	0.226515027124	0.496810269575	Barthea39534	http://amigo.geneontology.org/amigo/term/GO:0060321
COPII vesicle coat	Gene Ontology	GO:0030127	1	25	0.226515027124	0.496810269575	Barthea41270	http://amigo.geneontology.org/amigo/term/GO:0030127
P-body assembly	Gene Ontology	GO:0033962	1	25	0.226515027124	0.496810269575	Barthea20836	http://amigo.geneontology.org/amigo/term/GO:0033962
chlorophyll catabolic process	Gene Ontology	GO:0015996	1	25	0.226515027124	0.496810269575	Barthea13800	http://amigo.geneontology.org/amigo/term/GO:0015996
zinc ion binding	Gene Ontology	GO:0008270	14	1119	0.227960386496	0.49764202581	Barthea29177|Barthea39512|Barthea41270|Barthea13815|Barthea39501|Barthea41268|Barthea25098|Barthea22892|Barthea37786|Barthea37787|Barthea37784|Barthea20975|Barthea20831|Barthea41256	http://amigo.geneontology.org/amigo/term/GO:0008270
jasmonic acid biosynthetic process	Gene Ontology	GO:0009695	2	90	0.228800931407	0.49764202581	Barthea41244|Barthea22831	http://amigo.geneontology.org/amigo/term/GO:0009695
multicellular organism development	Gene Ontology	GO:0007275	2	90	0.228800931407	0.49764202581	Barthea12188|Barthea22848	http://amigo.geneontology.org/amigo/term/GO:0007275
regulation of gene expression by genetic imprinting	Gene Ontology	GO:0006349	1	26	0.234120962691	0.503617345569	Barthea41248	http://amigo.geneontology.org/amigo/term/GO:0006349
chitinase activity	Gene Ontology	GO:0004568	1	26	0.234120962691	0.503617345569	Barthea41238	http://amigo.geneontology.org/amigo/term/GO:0004568
activation of MAPK activity	Gene Ontology	GO:0000187	1	26	0.234120962691	0.503617345569	Barthea25056	http://amigo.geneontology.org/amigo/term/GO:0000187
proteasome regulatory particle, lid subcomplex	Gene Ontology	GO:0008541	1	26	0.234120962691	0.503617345569	Barthea12188	http://amigo.geneontology.org/amigo/term/GO:0008541
stem vascular tissue pattern formation	Gene Ontology	GO:0010222	1	27	0.241652285875	0.51277436271	Barthea12171	http://amigo.geneontology.org/amigo/term/GO:0010222
regulation of RNA splicing	Gene Ontology	GO:0043484	1	27	0.241652285875	0.51277436271	Barthea12177	http://amigo.geneontology.org/amigo/term/GO:0043484
phosphatidylinositol-4,5-bisphosphate binding	Gene Ontology	GO:0005546	1	27	0.241652285875	0.51277436271	Barthea25073	http://amigo.geneontology.org/amigo/term/GO:0005546
defense response to other organism	Gene Ontology	GO:0098542	1	27	0.241652285875	0.51277436271	Barthea37773	http://amigo.geneontology.org/amigo/term/GO:0098542
trichome branching	Gene Ontology	GO:0010091	2	95	0.24693417311	0.516013005611	Barthea41266|Barthea41267	http://amigo.geneontology.org/amigo/term/GO:0010091
response to nitrate	Gene Ontology	GO:0010167	1	28	0.249109726847	0.516013005611	Barthea41238	http://amigo.geneontology.org/amigo/term/GO:0010167
floral organ development	Gene Ontology	GO:0048437	1	28	0.249109726847	0.516013005611	Barthea12145	http://amigo.geneontology.org/amigo/term/GO:0048437
glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity	Gene Ontology	GO:0043878	1	28	0.249109726847	0.516013005611	Barthea29164	http://amigo.geneontology.org/amigo/term/GO:0043878
lipid transporter activity	Gene Ontology	GO:0005319	1	28	0.249109726847	0.516013005611	Barthea20975	http://amigo.geneontology.org/amigo/term/GO:0005319
response to herbicide	Gene Ontology	GO:0009635	1	28	0.249109726847	0.516013005611	Barthea13815	http://amigo.geneontology.org/amigo/term/GO:0009635
voltage-gated potassium channel activity	Gene Ontology	GO:0005249	1	28	0.249109726847	0.516013005611	Barthea41244	http://amigo.geneontology.org/amigo/term/GO:0005249
double-stranded RNA binding	Gene Ontology	GO:0003725	1	28	0.249109726847	0.516013005611	Barthea39507	http://amigo.geneontology.org/amigo/term/GO:0003725
phosphate ion transmembrane transport	Gene Ontology	GO:0035435	1	28	0.249109726847	0.516013005611	Barthea22890	http://amigo.geneontology.org/amigo/term/GO:0035435
abscisic acid-activated signaling pathway	Gene Ontology	GO:0009738	4	257	0.255615312114	0.520297432051	Barthea25073|Barthea22894|Barthea29231|Barthea25056	http://amigo.geneontology.org/amigo/term/GO:0009738
aldehyde dehydrogenase (NAD+) activity	Gene Ontology	GO:0004029	1	29	0.256494008648	0.520297432051	Barthea29164	http://amigo.geneontology.org/amigo/term/GO:0004029
response to molecule of fungal origin	Gene Ontology	GO:0002238	1	29	0.256494008648	0.520297432051	Barthea12158	http://amigo.geneontology.org/amigo/term/GO:0002238
regulation of abscisic acid biosynthetic process	Gene Ontology	GO:0010115	1	29	0.256494008648	0.520297432051	Barthea22894	http://amigo.geneontology.org/amigo/term/GO:0010115
